,Unnamed: 0,Unnamed: 0.1,Bios,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer,cluster #,cluster_num
0,4,4,Internet nerd Award win coff trailblaz Social media advoc Travel guru Explorer Food fanat,3,2,1,1,7,1,2,1,8,2,1,3,2
5,75,75,Beer geek Unapologet zombi ninja Award win music enthusiast Bacon fanat,3,4,2,1,6,10,2,2,4,3,1,3,2
8,113,113,Pop cultur geek Friend troublemak Student Webahol Beer nerd Friend of anim everywh Creator,3,2,1,1,4,9,2,2,3,3,1,3,2
11,126,126,Infuriat humbl zombi trailblaz Wannab tv ninja Certifi music aficionado Friend alcohol maven,3,7,1,1,5,5,2,1,8,1,1,3,2
14,147,147,Tv scholar Gener social media junki Extreme alcoholahol Futur teen idol,4,7,3,1,5,8,2,1,2,1,1,3,2
17,159,159,Bacon advoc Troublemak Avid social media enthusiast Pop cultur expert Extreme creator,4,7,3,1,10,3,2,2,9,1,1,3,2
21,212,212,Avid web specialist Lifelong zombi fan Tv trailblaz Social media enthusiast Internet practit Proud twitter advoc Travel aficionado,2,2,3,1,2,2,2,3,10,3,1,3,2
22,225,225,Fall down lot Pop cultureahol Tv expert Internet specialist Web nerd Zombi trailblaz Alcohol evangelist,2,4,3,1,1,3,2,3,3,2,1,3,2
28,251,251,Amateur social media maven Pop cultureahol Troublemak Internet evangelist Typic bacon ninja Commun Zombi aficionado,1,6,3,1,8,5,2,1,1,1,1,3,2
32,295,295,Extreme coff enthusiast Lifelong alcohol guru Total internet evangelist Gamer,3,1,2,1,2,5,2,2,10,1,1,3,2
34,307,307,Student Hipster friend travel fanat Zombi guru Internet geek Alcohol practit,2,2,2,1,10,4,2,3,4,2,1,3,2
35,308,308,Typic travel aficionado Extreme alcohol evangelist Unapologet organ Zombieahol,2,8,2,1,10,1,2,3,11,3,1,3,2
36,345,345,Fall down lot Pop cultureahol Tv expert Internet specialist Web nerd Zombi trailblaz Alcohol evangelist,2,7,3,1,9,8,2,3,3,1,1,3,2
38,370,370,Extreme coff enthusiast Lifelong alcohol guru Total internet evangelist Gamer,1,6,3,1,8,6,2,1,5,1,1,3,2
44,383,383,Typic travel aficionado Extreme alcohol evangelist Unapologet organ Zombieahol,2,3,3,1,1,6,2,3,6,3,1,3,2
