,Bios
0,"about me:  i would love to think that i was some some kind of intellectual: either the dumbest smart guy, or the smartest dumb guy. can't say i can tell the difference. i love to talk about ideas and concepts. i forge odd metaphors instead of reciting cliches. like the simularities between a friend of mine's house and an underwater salt mine. my favorite word is salt by the way (weird choice i know). to me most things in life are better as metaphors. i seek to make myself a little better everyday, in some productively lazy way. got tired of tying my shoes. considered hiring a five year old, but would probably have to tie both of our shoes... decided to only wear leather shoes dress shoes.  about you:  you love to have really serious, really deep conversations about really silly stuff. you have to be willing to snap me out of a light hearted rant with a kiss. you don't have to be funny, but you have to be able to make me laugh. you should be able to bend spoons with your mind, and telepathically make me smile while i am still at work. you should love life, and be cool with just letting the wind blow. extra points for reading all this and guessing my favorite video game (no hints given yet). and lastly you have a good attention span."
1,i am a chef: this is what that means. 1. i am a workaholic. 2. i love to cook regardless of whether i am at work. 3. i love to drink and eat foods that are probably really bad for me. 4. i love being around people that resemble line 1-3. i love the outdoors and i am an avid skier. if its snowing i will be in tahoe at the very least. i am a very confident and friendly. i'm not interested in acting or being a typical guy. i have no time or patience for rediculous acts of territorial pissing. overall i am a very likable easygoing individual. i am very adventurous and always looking forward to doing new things and hopefully sharing it with the right person.
2,"i'm not ashamed of much, but writing public text on an online dating site makes me pleasantly uncomfortable. i'll try to be as earnest as possible in the noble endeavor of standing naked before the world.  i've lived in san francisco for 15 years, and both love it and find myself frustrated with its deficits. lots of great friends and acquaintances (which increases my apprehension to put anything on this site), but i'm feeling like meeting some new people that aren't just friends of friends. it's okay if you are a friend of a friend too. chances are, if you make it through the complex filtering process of multiple choice questions, lifestyle statistics, photo scanning, and these indulgent blurbs of text without moving quickly on to another search result, you are probably already a cultural peer and at most 2 people removed. at first, i thought i should say as little as possible here to avoid you, but that seems silly.  as far as culture goes, i'm definitely more on the weird side of the spectrum, but i don't exactly wear it on my sleeve. once you get me talking, it will probably become increasingly apparent that while i'd like to think of myself as just like everybody else (and by some definition i certainly am), most people don't see me that way. that's fine with me. most of the people i find myself gravitating towards are pretty weird themselves. you probably are too."
3,i work in a library and go to school. . .
4,"hey how's it going? currently vague on the profile i know, more to come soon. looking to meet new folks outside of my circle of friends. i'm pretty responsive on the reply tip, feel free to drop a line. cheers."
5,"i'm an australian living in san francisco, but don't hold that against me. i spend most of my days trying to build cool stuff for my company. i speak mandarin and have been known to bust out chinese songs at karaoke. i'm pretty cheeky. someone asked me if that meant something about my arse, which i find really funny.  i'm a little oddball. i have a wild imagination; i like to think of the most improbable reasons people are doing things just for fun. i love to laugh and look for reasons to do so. occasionally this gets me in trouble because people think i'm laughing at them. sometimes i am, but more often i'm only laughing at myself.  i'm an entrepreneur (like everyone else in sf, it seems) and i love what i do. i enjoy parties and downtime in equal measure. intelligence really turns me on and i love people who can teach me new things."
6,life is about the little things. i love to laugh. it's easy to do when one can find beauty and humor in the ugly. this perspective makes for a more gratifying life. it's a gift. we are here to play.
7,
8,
9,"my names jake. i'm a creative guy and i look for the same in others.  i'm easy going, practical and i don't have many hang ups. i appreciate life and try to live it to the fullest. i'm sober and have been for the past few years.  i love music and i play guitar. i like tons of different bands. i'm an artist and i love to paint/draw etc. and i love creative people.  i've got to say i'm not too big on internet dating. you cant really get an earnest impression of anyone from a few polished paragraphs. but we'll see, you never know."
10,"update: i'm seeing someone, so off the market :)  i have blue eyes, live in the mission, love to laugh and make people smile. i'm a social liberal. honesty impresses me, i'm not a fan of lying unless it involves soft grass or a bed. i've heard that lots of gents on the cupid lie about/exaggerate their height. i am in fact 5'10.5"", for whatever that's worth. i love female energy. i am endlessly fascinated by women, and the best thing about okc is that i get to meet independent and interesting girls that i would never have encountered in my daily life. i'm very comfortable to be around and i have fun helping people overcome problems or gain fresh insights into their personalities.  favorite spirit:single malt scotch go-to drink:jack&coke favorite beers: kostritzer, hoegaarden beers i'm more likely to actually be drinking: pabst, tecate, miller with breakfast: irish coffee personality type: enfj"
11,"i was born in wisconsin, grew up in iowa, and moved to california three years ago for a combination of work opportunity and just wanting to live in sf. it took me a couple years to get to the peninsula, but i'm glad i eventually got here. i'm passionate about people and have a wide variety of interests and talents.  i'm also continually learning about myself. for example, i'm learning very recently that as a result of spending all my time growing up, in college, and for the last five years focusing on growing my ""deep relationship"" skills, i'm not as good as i previously thought at initializing friendships/relationships. i guess that isn't all a bad thing since the ""first impression"" thing only really happens once with each person. :)  as a result, i love my friends, i've got a lot of deep friendships, and know how much richer a friendship can get as it gets deeper.  i'm passionate about music, i play the guitar, write songs (less now than before), write plays (more now than before), want to learn french and asl, am pretty good for an amateur ballroom dancer, can do almost everything moderately well (seriously, no joke), love bright ties and shoes, am a jacket and jeans person, and absolutely love figuring out how people tick. i think i'm pretty cool and wish more people would be patient enough to take the time to see that.  every friend i've ever had say i'm nothing like anyone else. so i don't come off like anyone else. i'm my own person. and i'm proud of that."
12,bang my shit bang
13,
14,
15,
