,Unnamed: 0,user,bio,Cluster Labels
0,0,MikePaineShow,#voiceover talent voice actor & radio guy for 30+ years. My wife is my best friend & I LOVE soup!,3
1,1,gablescinema,"South Florida's premiere nonprofit cinema for the best independent, foreign, and cult classic films digitally restored and on 35mm & 70mm.",2
2,2,dhumpachika,Follow us for the best of what's happening about #Cycling and #biking around the world | Chika chikaaaaaaa ka bro!,2
3,3,DavyVara,Filmmaker Writer Activist Aspiring Actor... I MAKE FILMS AND VIDEOS THAT MAKE PEOPLE THINK... I ASK THE QUESTIONS YOU DON’T HAVE THE COJONES TO ASK.,2
4,4,keeeykeh,"Dedicated student of the beautiful game. Head Coach at College of the Desert, Men's Soccer. Christ, canines, and coffee enthusiast. #Ao1",2
5,5,MyDearAmelia,In the business of mastering my energy to be my most authentic empowered self and create something that will change my world.,2
6,6,ecrscooters,"Southern California’s Premier Electric Scooter Store. 
Contact us: sales@electriccityrides.net",2
7,7,BigDumpsters,"Fast and friendly roll off dumpster company. Geared more towards residential demand. 10, 15, and 20 cubic yard dumpsters.",2
8,8,JPStrategiesCO,"The JP Strategies team provides Community Outreach, Communication & Engagement Strategy for Political Campaigns & Non-Profit Organizations across the Country!",2
9,9,angeezuss,i’m a lonely bitch.,2
10,10,VgErnawati,"Love nature, flowers, landscapes, wildlife, NO DM, God Blez Everyone.😇",3
11,11,MarcelinPeleg,#BAKE,2
12,12,PortiaColorado,"Actress, Activist, Community Leader & Entrepreneur @JPstrategiesCO | Co-Founder @BlackGirlsHike & @COBlackArts | IG: PortiaPrescottCO | #BrownUniversity #AKA",1
13,13,NaShGrod,"НА КОМПРОМИССЫ ИДУ ,НО НЕ С СОВЕСТЬЮ И НЕ С ДУШОЙ.",2
14,14,renrichards10,"Jesus ✝️ Lover 
Wife 👨‍👩‍👧 Mom
Boss 💋📿 Lady
Girl 🎮🕹 Gamer
Turtle 🐢 Obsessed",0
15,15,TheVinayPaleja,,4
16,16,ResComPest,"Res-Com Pest Control of Tulare has been offering extermination and pest control services to Visalia, Tulare, Porterville, Hanford & surrounding area since 1985.",2
17,17,LisaMatik,"School Psych at MVHS; Assistant Girls XC Coach at WVHS; Runner; Cook; Hiker, & Weim Mom",0
18,18,sdtenniscenter,Our goal is to promote tennis throughout all of San Diego by bringing tennis to local communities throughout the county.,2
19,19,TeamAbbyDiMera,"#GirlPower❣️🙌

#Chabby❣️ #Milly❣️ #Days

#Shey❣️ #YR

#HallmarkMovies❣️ ~ I just love happy endings❣️💞

#BTS💜

#MemphisGrizzlies💙 #GrindCity💙",3
20,20,prosoccerinc,"We’re your one stop shop for all things soccer! 6929 N Willow Ave STE #109 #Fresno, CA",2
21,21,CODCareerCenter,,4
22,22,DavyVara,Filmmaker Writer Activist Aspiring Actor... I MAKE FILMS AND VIDEOS THAT MAKE PEOPLE THINK... I ASK THE QUESTIONS YOU DON’T HAVE THE COJONES TO ASK.,2
23,23,IHaveVanished,Mouthpiece for the Missing,2
24,24,escape2ski,"A leading provider for #skiing & #snowboarding information to over 150 ski resorts in North America. Search, Plan & Book your travel & even Post Resort Jobs.",2
25,25,AoAInDetroit,"Founded in 1991, Academy of the Americas is a DPS Community District PreK to 12th grade dual language Spanish/English immersion school located in SW Detroit.",2
26,26,Johnnie26623544,MST for Market 899.,2
27,27,DrNatissiaSmall,"Wife| Mom| Educator|Assistant Provost, Academic Affairs@UMSL",0
28,28,LuiFregoso,#techstud,2
29,29,abcInsight,"I love the sun, sand and beaches.......",3
30,30,cootbie,We are a startup to amplify job seekers’ voices and improve candidate experience.,2
31,31,GKcoachandy_,@mtsac_msoccer alumni sponsored by @hosoccerusa1,2
32,32,NFormulary,Nature's Formulary #Ayurvedic Products.🌿Classical Ayurvedic #products made in the #USA. Nothing artificial. (RTs are not endorsements) 800.923.9338,3
33,33,DaliDonation,"Dali is in pain and cannot walk. If it goes on like this, it is expected to die 😔 Please donate and we'll have her operated. (paypal accepts any card)",2
34,34,VNeginskiy,"Narodil sa v Sovietskom zväze 21.09.1971, Milujem československé filmy ""Spadla z oblakov"",""Rachotilkovia""herci-deti, slovenský jazyk a Tatry, a jazierka , TV !",2
35,35,andiasff,➪ bi || i am a child || ifb!!,2
36,36,PineRidgeUCOMC,,4
37,37,csudh_lsu,The Loker Student Union at CSUDH provides an environment which is designed to encourage interaction among the campus' constituent groups (internal and external),2
38,38,SteveMilner1960,It's all a matter of perspective.,2
39,39,Tuffy_The_Titan,Official mascot of @csuf #TusksUp I love all things CSUF and peanuts...I really love peanuts 🥜🐘 Insta: @TuffyTheTitan DM for Appearance Requests,3
40,40,canabrad,"working life...  invest in my first 100$ #KLV
at 0.07, a little late but i go to the moon whith i can^^
DM me if you want to help 😍😍
TVSTa9xdsaGCs2Vkq9U8AhUGL",3
41,41,GGCCNEWS,"The Gaithersburg-Germantown Chamber of Commerce is a vital, dynamic organization of 400 members. Increase the Value of Your Business!",2
42,42,jpip81,#HeatTwitter #BlackLivesMatter,2
43,43,MabletonPE,We are the PE department of Mableton Elementary School,2
44,44,solTllez,"English teacher. Born & raised in Germany. Spanish blood. 🇪🇺.
Happily divorced .
❤ my friends. Almería,👑of Spain .Friend Dms only .",2
45,45,PortiaColorado,"Actress, Activist, Community Leader & Entrepreneur @JPstrategiesCO | Co-Founder @BlackGirlsHike & @COBlackArts | IG: PortiaPrescottCO | #BrownUniversity #AKA",1
46,46,TitansStampede,The Stampede is the Tuffiest Student Section,2
47,47,GUtsab00,"#bitcoin #Trx
Hi welcome to The Good Night.......

Blockchain Supporter

TKB7EffTjZiMJUr1aWGihAVYpDqRq8vYRo",2
48,48,DavyVara,Filmmaker Writer Activist Aspiring Actor... I MAKE FILMS AND VIDEOS THAT MAKE PEOPLE THINK... I ASK THE QUESTIONS YOU DON’T HAVE THE COJONES TO ASK.,2
49,49,Bo_Class_FCPS,"Assistant Principal, Ballenger Creek Middle School, Frederick County Public Schools, Father, Coach, Retired Soldier, Patriot",2
50,50,Andrea_Morehead,"7x #Emmy-winning News Anchor, Exec. Prod, Author | #BreastCancerThriver | @HowardU @IUMcKinney @NABJ | Founder: #ImTHATchickWhoAintAfraid",2
51,51,enderleeparis,,4
52,52,GradUmsl,"🔴Official account of UMSL Graduate Business🟡
Only Tier 1️⃣ Public Research University in the region
Dual AACSB accreditation
314.516.5885 | mba@umsl.edu",2
53,53,ClarkCountySch,"Official Twitter account for the Clark County School District in Las Vegas, NV, the fifth-largest school district in the United States. #1ForKids #1ParaLosNiños",2
