,user,bio
0,DramaArtMusic,
1,OscarSmithHigh,"Located at 1994 Tiger Drive in Chesapeake, Virginia"
2,ShakesInAction,Theatre in the heart of York South Weston
3,bakersfieldvu,"Deja Vu Showgirls is the #1 Strip Club in Bakersfield! 
Check out our website for VIP Packages & More!
https://t.co/0Q417U3m5e"
4,ShawnWhiteBMX,"https://t.co/ytrqIqx3qb - BMX, Comedy, Acting, #FANO YouTube Channel ShawnWhiteBMX - Profile ZCoaster Supporter - HARO Supporter"
5,ByHeatherLloyd,Writer. Blogger. Football fanatic. Crazy dog lady. Minnesotan by birth. Hoosier by choice. I don't do stats. Or flats. 👠💥🏈
6,HPRwildcats,High Point Regional High School #hprwildcats #TopofNJ #wildcatpride #hprhs
7,L_Boogie2085,
8,HomeGuildford,Home-Start Guildford provides one-to-one support for families with young children who are struggling in difficult circumstances.
9,prosoccerinc,"We’re your one stop shop for all things soccer! 6929 N Willow Ave STE #109 #Fresno, CA"
10,sra_downey,"🍏8th grade Spanish 👪 wife and mother 👩🏼‍💻 Tpt Designer, 🏃🏼‍♀️🐶🏊🏻‍♀️🏖🗺 love 📚 Storyteller, teach 🎶 💃🖼🏵from🇪🇸  #cms37 @the_culture_corner"
11,HCUCSkills,"A leading provider from @uxbridgecollege & @HarrowCollege, offering high-quality #Apprenticeships, #recruitment services & business #training in west London."
12,yegventures,"Social guy. Best of Edmonton and beyond. Former #yegcc candidate. Can't follow back. I'm at Twitter follow limit, sorry!"
13,AlisonLukin,Writer - https://t.co/cyn3AiZZkx
14,CentParkDist,Centennial Park District is Downtown Atlanta's premier entertainment district and your destination for adventure. #EverythingATL
15,alijanepalmer,"Educator, dog and kitten foster mom, lover of fashion and music, reader, traveler, friend, auntie, ally. Social Democrat in AB. She/Her #yeg #LetsGoOilers"
16,CBCEdmonton,"News, current affairs and community stories from the CBC Edmonton newsroom."
17,jaben18,
18,HeroesFndtn,"Our Mission is to provide meaningful support to cancer patients, education to promote cancer prevention, and resources to advance research for a cure."
19,mars_blackmon85,"Christian,Husband, Father, Educator, & Head Football Coach at Lee High School in Huntsville."
20,MAI_Principal,
21,education_24x7,"All education content. Education changes the life.
Software Developer| ML | DS | Technical Blogging at https://t.co/r2HyR2uI0M | Github: https://t.co/zMKVl7Qs3I"
22,SoapandPamper,"I make all natural, vegan & palm oil free Soaps, Shampoo & Lip Balms to Pamper your body & soul! 
100% natural incl the wrapping. 
Member of #MHHSBD"
23,steve_welchert,"Political, policy and strategic communications consultant."
24,minhaskh,Interventional Cardiologist Tweets ≠ Medical Advice.
25,KurtBauche,"Grandpa. Love Jules. StL Cardinals, Blues, Battlehawks, Mizzou, Louisville. Retired band director. Low brass. Golf. Carpe diem. SSB critic. FD assistant."
26,sarahamanda97,
27,PEEK_project_,"We are an award winning children’s charity based in Glasgow. We support children, young people and communities to #PEEKPlay #PEEKCreate #PEEKThrive #TEAMPEEK"
28,AdrienneLambCBC,"Mom, wife & award winning journalist. Host & producer of Our Edmonton at CBC Edmonton. Retweets ≠ endorsements. Tips & tales most welcome: adrienne.lamb@cbc.ca"
