,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer,Cluster #
6,3,8,1,2,3,1,2,1,11,1,1,2
11,2,6,3,2,1,8,2,1,10,2,1,2
14,4,2,1,2,3,5,2,1,2,1,1,2
27,1,7,3,2,3,10,2,2,4,3,1,2
35,1,4,3,2,3,6,2,2,9,3,1,2
36,3,3,1,2,5,3,2,2,8,2,1,2
73,1,3,2,2,6,2,2,2,10,3,1,2
91,2,7,3,2,3,9,2,2,5,3,1,2
93,4,1,1,2,10,6,2,2,1,3,1,2
99,1,6,3,2,8,4,2,3,3,1,1,2
105,3,7,3,2,9,6,2,2,10,3,1,2
107,2,5,3,2,3,6,2,1,11,1,1,2
140,1,2,3,2,5,5,2,1,11,2,1,2
144,1,7,2,2,5,10,2,1,1,3,1,2
165,3,4,1,2,6,5,2,1,7,3,1,2
174,4,5,3,2,2,5,2,3,11,1,1,2
175,2,3,1,2,1,7,2,2,3,1,1,2
186,1,7,1,2,9,4,2,1,8,1,1,2
188,3,6,3,2,9,3,2,3,2,2,1,2
195,1,1,3,2,9,8,2,1,11,1,1,2
203,3,2,3,2,10,8,2,1,4,1,1,2
214,3,7,3,2,7,1,2,3,10,1,1,2
226,3,3,3,2,8,5,2,1,10,2,1,2
235,4,1,2,2,8,2,2,3,4,1,1,2
251,1,3,3,2,10,2,2,2,7,3,1,2
255,3,7,1,2,3,10,2,1,4,1,1,2
262,2,7,2,2,7,6,2,1,7,3,1,2
263,2,2,1,2,4,7,2,1,9,2,1,2
274,4,4,3,2,5,1,2,3,4,1,1,2
286,1,2,3,2,4,5,2,2,10,3,1,2
304,1,5,1,2,7,9,2,2,5,2,1,2
322,1,1,2,2,3,5,2,3,2,1,1,2
330,4,8,2,2,10,5,2,1,6,2,1,2
340,3,8,2,2,1,8,2,1,1,1,1,2
342,4,4,1,2,2,9,2,3,11,2,1,2
344,4,7,1,2,8,4,2,3,11,2,1,2
348,4,7,2,2,9,8,2,2,1,1,1,2
357,3,3,2,2,9,4,2,1,7,1,1,2
363,2,3,3,2,9,2,2,1,5,1,1,2
373,3,5,2,2,7,7,2,1,11,2,1,2
386,1,2,3,2,6,2,2,1,7,3,1,2
396,3,4,2,2,9,5,2,2,11,2,1,2
405,1,4,2,2,3,6,2,2,5,2,1,2
409,1,1,2,2,4,6,2,1,8,1,1,2
437,4,3,2,2,5,8,2,2,3,1,1,2
440,2,5,1,2,10,6,2,2,10,3,1,2
450,2,4,3,2,1,6,2,2,4,3,1,2
451,1,5,1,2,2,6,2,2,3,3,1,2
465,2,2,3,2,4,3,2,1,9,1,1,2
467,4,1,1,2,8,1,2,2,11,1,1,2
490,1,8,2,2,5,4,2,2,6,3,1,2
493,2,4,3,2,4,2,2,3,3,3,1,2
496,1,3,3,2,6,2,2,2,11,3,1,2
497,1,1,2,2,4,2,2,3,4,2,1,2
507,3,6,2,2,1,6,2,3,7,1,1,2
514,2,8,1,2,6,10,2,2,10,1,1,2
520,2,4,3,2,5,10,2,2,1,3,1,2
529,4,3,2,2,6,1,2,2,5,3,1,2
531,1,7,1,2,9,4,2,3,9,3,1,2
533,3,6,1,2,6,8,2,2,3,1,1,2
543,4,2,2,2,4,4,2,2,8,1,1,2
549,3,7,3,2,8,3,2,1,11,3,1,2
552,1,6,2,2,10,1,2,2,2,3,1,2
555,3,7,3,2,9,4,2,3,1,3,1,2
556,1,5,3,2,1,1,2,3,5,3,1,2
557,3,7,2,2,9,1,2,1,9,2,1,2
574,4,7,1,2,4,6,2,2,10,1,1,2
581,3,6,2,2,6,1,2,2,6,3,1,2
586,4,5,1,2,2,2,2,2,9,3,1,2
587,3,5,2,2,1,3,2,1,1,3,1,2
598,1,8,2,2,8,3,2,1,3,2,1,2
604,3,3,3,2,8,3,2,1,3,2,1,2
608,1,4,3,2,8,3,2,2,7,2,1,2
610,4,3,2,2,1,8,2,1,5,3,1,2
615,2,3,3,2,8,5,2,3,4,1,1,2
626,3,4,1,2,6,3,2,2,11,3,1,2
630,4,2,3,2,9,2,2,3,9,1,1,2
655,3,1,3,2,3,1,2,2,5,2,1,2
662,3,2,2,2,4,1,2,1,5,3,1,2
673,3,3,2,2,1,7,2,2,1,2,1,2
