,Bios,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer
0,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,1,1,1,2,5,9,2,2,8,3,2
1,Communicator. Zombie expert. Alcohol trailblazer. Professional introvert. Organizer.,2,4,1,2,5,7,1,3,5,3,2
2,Food geek. Creator. Wannabe alcohol practitioner. Evil twitter expert. Unapologetic thinker. Lifelong troublemaker.,1,1,1,1,9,5,2,3,4,1,1
3,Thinker. Lifelong zombie aficionado. Travel specialist. Total writer. Typical music junkie. Freelance organizer. Incurable tv advocate.,4,2,2,2,10,8,1,1,6,1,1
4,Tv junkie. Reader. Zombie practitioner. Food enthusiast. Internet specialist. Wannabe communicator.,3,3,3,1,8,1,1,1,11,2,2
5,Explorer. Professional gamer. Typical travel junkie. Web lover. Introvert. Twitter scholar. Friend of animals everywhere.,3,1,1,1,3,2,1,3,9,1,1
6,Friendly reader. Problem solver. Unapologetic introvert. Organizer. Passionate food junkie. Travel trailblazer.,4,8,3,2,3,5,2,2,10,3,2
7,Hipster-friendly zombie junkie. Devoted reader. Total twitter fan. General troublemaker. Social media advocate.,2,3,1,1,4,1,2,2,3,1,2
8,Writer. Subtly charming coffee geek. Friend of animals everywhere. Problem solver. Certified zombie maven. General bacon fanatic. Thinker. Food evangelist.,3,1,1,2,2,9,1,3,5,1,2
9,Beer fan. Passionate web scholar. Future teen idol. Food geek. Avid zombie fanatic. Problem solver. Reader.,1,7,3,2,9,1,2,3,9,2,1
10,Lifelong pop culture trailblazer. Friendly coffee advocate. Amateur introvert. Social media enthusiast. Twitter maven.,4,8,1,1,8,3,1,1,7,3,1
11,Food ninja. Typical tv aficionado. Organizer. Pop culture practitioner. Music nerd. Entrepreneur.,4,2,2,1,6,6,2,1,8,2,2
12,Professional alcohol expert. Future teen idol. Total communicator. General social media scholar.,1,3,1,1,5,3,1,2,5,3,2
13,Food specialist. Typical tv evangelist. Hardcore pop culture advocate. Music expert.,3,3,2,2,8,8,1,3,4,2,2
14,Incurable food trailblazer. Infuriatingly humble internet scholar. Evil twitter lover. Lifelong pop culture guru. Tv ninja.,3,2,3,1,10,5,2,3,2,1,2
15,Infuriatingly humble internet practitioner. Creator. Thinker. Incurable pop culture specialist. Tv fanatic. Student.,2,3,1,1,2,10,2,1,5,1,1
