,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer
0,4,8,3,1,4,1,2,1,7,3,2
1,3,3,1,2,8,1,1,2,4,2,1
2,1,7,2,2,2,10,1,3,11,2,2
3,4,5,1,1,8,3,2,2,6,3,2
4,2,4,2,1,3,9,2,2,7,1,2
5,3,8,1,1,8,9,1,2,5,2,2
6,3,8,1,2,3,1,2,1,11,1,1
7,4,2,2,1,2,2,2,1,3,1,1
8,2,8,2,2,2,5,2,2,2,3,2
9,3,3,3,1,4,4,2,1,8,1,1
10,3,4,3,2,6,8,1,3,8,3,2
11,2,6,3,2,1,8,2,1,10,2,1
12,1,2,2,2,10,3,1,2,8,1,2
13,4,7,3,1,1,1,1,1,8,3,1
14,4,2,1,2,3,5,2,1,2,1,1
15,2,4,2,1,2,9,2,1,2,1,1
16,4,2,1,2,2,9,1,2,1,1,1
17,4,7,1,2,3,3,1,3,9,1,2
18,2,2,3,2,6,1,1,1,9,3,1
19,4,4,3,1,10,1,1,1,1,1,2
20,1,7,1,2,4,8,1,2,9,2,1
21,1,1,1,2,7,4,1,3,11,3,2
22,3,5,3,2,6,5,2,1,2,3,2
23,4,2,3,1,4,8,2,2,7,3,1
24,1,7,2,1,10,9,2,3,2,2,1
25,3,6,3,1,9,7,1,2,10,3,2
26,3,2,3,1,7,7,1,3,9,1,2
27,1,7,3,2,3,10,2,2,4,3,1
28,1,5,1,1,3,7,1,2,10,2,1
29,4,2,3,1,3,10,2,2,5,3,2
30,2,4,1,2,2,10,1,2,2,2,2
31,2,1,1,2,7,5,1,1,10,2,2
32,1,4,1,2,6,5,2,1,1,1,2
33,1,3,2,2,5,10,1,1,1,3,2
34,4,1,1,2,8,10,2,1,2,2,2
35,1,4,3,2,3,6,2,2,9,3,1
36,3,3,1,2,5,3,2,2,8,2,1
37,3,7,3,2,10,10,1,1,3,3,1
38,1,8,3,2,2,2,1,2,11,1,1
39,3,4,1,1,1,2,2,1,1,3,1
40,4,2,3,2,3,5,1,3,5,1,2
41,1,7,3,2,6,3,2,1,6,1,2
42,2,1,2,1,2,3,1,3,3,2,2
43,4,3,3,1,5,4,1,2,4,3,2
44,1,5,2,2,9,4,1,2,11,3,2
45,2,2,2,1,3,7,2,2,5,2,1
46,4,2,1,1,9,2,1,1,10,3,2
47,2,8,1,1,2,8,1,2,6,1,1
48,3,6,2,2,2,3,1,3,2,2,1
49,3,2,2,1,1,7,1,2,9,3,1
50,3,4,2,1,3,3,1,3,1,1,1
51,1,3,3,1,3,2,1,1,1,1,1
52,1,3,1,1,2,8,2,1,1,2,2
53,3,5,2,1,5,4,2,3,9,1,2
54,3,1,2,2,5,9,1,1,5,1,1
55,1,8,2,1,1,6,2,3,8,3,1
56,3,3,2,2,7,3,2,1,10,2,2
57,3,3,1,1,6,3,1,2,1,1,1
58,4,2,3,1,6,1,1,2,10,1,1
59,2,2,2,2,7,10,1,2,8,2,1
60,3,2,1,1,6,10,1,2,11,2,2
61,4,4,2,2,2,8,1,1,9,1,1
62,3,4,3,1,9,1,2,2,6,1,1
63,2,6,2,1,1,10,2,1,8,1,1
64,2,1,3,1,1,4,2,1,9,1,2
65,2,5,1,1,5,10,2,2,4,2,2
66,1,6,1,1,10,1,1,1,3,1,1
67,4,7,2,1,2,3,2,2,4,2,2
68,4,8,3,1,6,10,1,3,9,3,1
69,3,5,1,2,10,7,1,1,10,3,2
70,4,7,1,1,4,4,1,1,9,3,2
71,1,4,3,1,10,8,1,2,4,1,2
72,1,8,2,1,6,10,1,2,3,3,2
73,1,3,2,2,6,2,2,2,10,3,1
74,2,3,2,2,6,3,2,1,1,1,2
75,2,5,3,2,3,8,1,1,4,1,2
76,2,7,1,2,1,7,1,3,1,2,1
77,2,5,2,1,6,7,2,1,1,3,2
78,4,6,2,1,5,1,1,3,10,3,1
79,1,7,2,2,1,2,2,2,1,1,2
80,3,7,1,1,2,5,2,1,7,3,2
81,2,1,3,1,1,3,1,1,6,3,1
82,3,6,3,2,7,9,1,2,1,2,2
83,1,5,1,1,5,2,2,2,4,3,2
84,4,2,3,2,4,8,2,3,6,2,2
85,2,2,2,1,9,3,2,2,4,3,1
86,3,8,1,1,8,4,2,1,1,3,2
87,2,2,1,2,8,1,1,3,3,1,2
88,2,5,3,1,6,8,2,1,6,2,1
89,3,5,1,1,4,3,1,2,4,2,2
90,2,6,1,1,4,10,1,3,9,2,2
91,2,7,3,2,3,9,2,2,5,3,1
92,3,2,2,1,8,9,1,3,7,2,2
93,4,1,1,2,10,6,2,2,1,3,1
94,3,6,2,2,9,8,1,2,9,1,2
95,3,5,3,1,5,4,2,2,8,2,2
96,3,6,2,2,4,1,1,2,2,2,1
