,Bios,Year,Major_Dept,Ambition,Goals,Music,Sports,Friday_Nights,School_balance,Movie_Genres,Social_Style,Transfer
0, coder .hike .trekking. camping,4,4,1,1,3,2,1,1,1,2,2
1, introvert. gamer. coder ,2,6,2,2,2,7,2,1,11,1,1
2, tvshows. hiphop party ,2,7,3,2,1,6,1,2,4,2,1
3, tv .ninjas,3,6,3,2,5,2,2,2,10,3,1
4, internet. Bacon. social-media. Food-nerd twitter.,3,3,1,1,8,7,1,2,10,3,1
5, gamer. Music. social-media. Food-buff geek.,2,3,3,1,8,6,1,1,6,1,2
6, code. hike .trekking,1,4,2,2,1,2,1,3,7,1,2
7, code. hike. trekking .,4,1,2,2,1,6,1,1,2,3,1
8,code hike .trekking ,4,7,3,1,3,7,1,2,6,2,1
9, scholar.  .twitter. Student. Coffee-enthusiast. Music guru.,2,2,1,2,7,4,1,3,1,3,2
10, coding. hiking . trekking.,1,4,2,1,3,1,1,3,4,1,2
11, Internet. Total web.  twitter . Writer. Friendly .,1,7,3,2,2,5,1,1,8,1,2
12, Creator.shy. Entrepreneur.  ninja.,4,6,3,1,7,9,1,2,1,1,2
13, web. nerd. Beer. creator. foodie. geek.,1,8,3,1,7,9,1,2,1,2,1
14, Travelling. Web . Lifelong explorer. Music-lover.,2,3,1,1,9,6,1,3,3,1,1
15, web . travel. Reader.,4,8,1,2,5,8,2,3,6,3,1
16, expert. Internet Travel .,4,1,2,2,1,6,1,1,2,3,1
17, Devoted zombie trailblazer. Travel . Pop culture. Passionate internetaholic.,4,7,3,1,3,7,1,2,6,2,1
18, scholar.  .twitter. Student. Coffee-enthusiast. Music guru.,2,2,1,2,7,4,1,3,1,3,2
19,Love coding. hiking . trekking.,1,4,2,1,3,1,1,3,4,1,2
20,Internet.  twitter . Writer. Friendly .,1,7,3,2,2,5,1,1,8,1,2
21,Creator.shy. Entrepreneur.  ninja.,4,6,3,1,7,9,1,2,1,1,2
22, web-nerd. Beer.creator. foodie. geek.,1,8,3,1,7,9,1,2,1,2,1
23, Travelling. Web . explorer. Music-enthusiast.,2,3,1,1,9,6,1,3,3,1,1
24, web. travel. Reader.,4,8,1,2,5,8,2,3,6,3,1
